EmployeeId,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,FirstJob,JuniorRole,AvgSalaryRole
16,38,0.0,Non-Travel,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0,0,1
17,39,0.0,Travel_Rarely,Research & Development,2,4,Technical Degree,4,Female,2,2,Healthcare Representative,3,Single,4553,1,No,11,3,1,0,20,4,3,20,7,11,10,0,0,0
18,54,0.0,Travel_Rarely,Research & Development,5,2,Medical,1,Male,3,5,Research Director,1,Married,19406,4,No,11,3,3,1,24,4,2,4,2,1,2,0,1,1
19,25,1.0,Travel_Frequently,Research & Development,2,1,Life Sciences,4,Male,4,2,Manufacturing Director,3,Divorced,5206,1,No,17,3,3,2,7,6,3,7,7,0,7,0,0,0
20,49,0.0,Travel_Rarely,Research & Development,4,2,Medical,1,Male,2,5,Manager,3,Married,18711,2,No,13,3,3,1,23,2,4,1,0,0,0,0,1,1
21,24,0.0,Travel_Rarely,Research & Development,23,3,Medical,2,Male,4,1,Research Scientist,4,Married,2725,1,Yes,11,3,2,2,6,3,3,6,5,1,4,0,0,0
22,40,0.0,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,3,4,Manufacturing Director,3,Single,13237,7,No,15,3,3,0,22,3,3,20,6,5,13,0,0,1
23,41,0.0,Non-Travel,Sales,10,2,Life Sciences,4,Male,3,2,Sales Executive,4,Single,6230,7,No,14,3,4,0,16,3,3,14,3,1,10,0,0,0
24,32,0.0,Travel_Rarely,Sales,8,2,Technical Degree,3,Female,2,2,Sales Executive,2,Married,5228,1,Yes,11,3,4,0,13,2,3,13,12,11,9,0,0,0
25,24,1.0,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,2,Yes,16,3,1,1,6,2,2,2,0,2,0,0,1,0
26,49,1.0,Travel_Rarely,Research & Development,25,4,Life Sciences,3,Female,3,1,Laboratory Technician,1,Married,3211,1,No,14,3,4,1,10,3,2,9,6,1,4,0,0,0
27,24,1.0,Travel_Rarely,Research & Development,21,2,Technical Degree,3,Male,2,1,Laboratory Technician,1,Divorced,2296,0,No,14,3,2,3,2,3,3,1,1,0,0,0,1,0
28,39,0.0,Travel_Rarely,Research & Development,13,4,Medical,3,Female,2,4,Manager,2,Divorced,17123,6,Yes,13,3,4,2,21,4,3,19,9,15,2,0,0,0
29,59,0.0,Travel_Rarely,Human Resources,6,2,Medical,2,Male,3,1,Human Resources,3,Married,2267,8,No,17,3,4,0,7,2,2,2,2,2,2,0,1,0
30,47,1.0,Travel_Rarely,Human Resources,26,4,Life Sciences,4,Female,3,5,Manager,3,Married,19658,3,No,11,3,3,1,27,2,3,5,2,1,0,0,1,1
31,36,0.0,Travel_Rarely,Research & Development,14,1,Life Sciences,3,Male,3,2,Healthcare Representative,4,Married,6586,0,Yes,17,3,1,1,17,2,2,16,8,4,11,0,0,0
32,30,0.0,Travel_Rarely,Research & Development,7,4,Life Sciences,3,Male,3,2,Laboratory Technician,3,Divorced,3491,1,No,13,3,1,3,10,4,2,10,7,8,9,0,0,1
33,38,0.0,Travel_Rarely,Human Resources,1,3,Human Resources,3,Male,4,1,Human Resources,3,Married,2844,1,No,13,3,4,1,7,2,4,7,6,5,0,0,0,0
34,28,1.0,Travel_Frequently,Sales,1,3,Technical Degree,1,Male,3,1,Sales Representative,3,Married,2909,3,No,15,3,4,1,5,3,4,3,2,1,2,0,1,1
35,31,0.0,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Male,3,1,Research Scientist,4,Divorced,2695,0,Yes,18,3,2,1,3,2,1,2,2,2,2,0,1,0
36,36,0.0,Non-Travel,Sales,1,5,Medical,4,Female,3,2,Sales Executive,4,Single,6653,4,No,15,3,2,0,7,6,3,1,0,0,0,0,1,0
37,32,0.0,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8,0,0,0
38,43,1.0,Travel_Rarely,Research & Development,27,3,Technical Degree,4,Male,4,1,Laboratory Technician,2,Divorced,4876,5,No,12,3,3,1,8,0,3,6,4,0,2,0,0,1
39,28,0.0,Non-Travel,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4,0,0,0
40,31,1.0,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,6172,4,Yes,18,3,2,0,12,3,2,7,7,7,7,0,0,0
41,50,0.0,Travel_Rarely,Sales,8,4,Marketing,4,Male,3,1,Sales Representative,2,Married,3875,7,No,15,3,4,1,4,2,3,2,2,2,2,0,1,1
42,39,0.0,Travel_Rarely,Research & Development,1,3,Medical,3,Male,4,3,Healthcare Representative,4,Divorced,9613,0,No,17,3,1,3,19,5,2,18,10,3,7,0,0,1
43,35,0.0,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3,0,0,0
44,32,0.0,Travel_Frequently,Sales,5,2,Life Sciences,2,Male,3,2,Sales Executive,2,Married,6524,1,No,14,3,4,1,10,3,3,10,8,5,3,0,0,0
45,26,1.0,Travel_Rarely,Research & Development,21,3,Medical,1,Male,3,1,Laboratory Technician,3,Divorced,2377,1,No,20,4,3,1,1,0,2,1,1,0,0,0,1,0
46,30,0.0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,1,No,19,3,1,3,11,3,3,11,10,10,8,0,0,0
47,38,1.0,Travel_Rarely,Sales,10,2,Life Sciences,1,Female,3,2,Sales Executive,4,Married,5343,1,No,11,3,3,1,10,1,3,10,7,1,9,0,0,0
48,30,1.0,Travel_Rarely,Human Resources,1,3,Life Sciences,3,Male,3,1,Human Resources,3,Divorced,2064,0,No,21,4,1,1,6,3,4,5,3,1,3,0,0,0
49,38,0.0,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,0,No,21,4,2,0,10,2,3,9,7,1,8,0,0,1
50,21,0.0,Travel_Rarely,Sales,22,1,Technical Degree,3,Male,3,1,Sales Representative,3,Single,3447,1,No,11,3,3,0,3,2,3,3,2,1,2,0,1,1
51,35,0.0,Travel_Rarely,Research & Development,7,3,Other,3,Male,3,3,Manufacturing Director,3,Single,10221,3,No,21,4,2,0,17,3,4,8,5,1,6,0,0,1
52,50,1.0,Travel_Rarely,Sales,9,3,Marketing,3,Male,3,5,Manager,3,Married,19331,4,Yes,16,3,3,1,27,2,3,1,0,0,0,0,1,1
53,34,1.0,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Male,4,2,Manufacturing Director,4,Divorced,4724,1,No,13,3,1,1,9,3,3,9,7,7,2,0,0,0
54,26,0.0,Travel_Frequently,Research & Development,1,3,Life Sciences,3,Female,3,2,Manufacturing Director,2,Divorced,6397,1,No,20,4,1,1,6,6,1,6,5,1,4,0,0,0
55,31,1.0,Travel_Frequently,Research & Development,2,3,Life Sciences,2,Male,3,1,Laboratory Technician,4,Married,3722,6,Yes,13,3,3,1,7,2,1,2,2,2,2,0,1,1
56,30,1.0,Travel_Rarely,Research & Development,7,3,Medical,2,Male,2,1,Research Scientist,2,Married,2141,1,No,12,3,2,1,6,3,2,6,4,1,1,0,0,0
57,32,0.0,Travel_Rarely,Research & Development,2,3,Medical,3,Female,3,1,Laboratory Technician,2,Married,2370,1,No,13,3,3,1,8,4,3,8,0,0,7,0,1,0
58,32,0.0,Travel_Rarely,Sales,10,3,Marketing,4,Male,3,2,Sales Executive,4,Single,5396,1,No,12,3,4,0,10,2,2,10,7,0,8,0,0,0
59,34,0.0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,1,Research Scientist,3,Divorced,2768,3,No,12,3,3,1,14,3,3,7,3,5,7,0,0,0
60,33,0.0,Travel_Frequently,Research & Development,5,4,Life Sciences,4,Female,3,3,Manager,2,Married,11878,6,No,11,3,2,2,12,2,3,10,6,8,8,0,0,0
61,47,0.0,Travel_Rarely,Research & Development,2,2,Medical,1,Female,3,2,Manufacturing Director,4,Divorced,5070,5,No,13,3,3,3,20,2,3,5,0,0,4,0,1,0
62,35,1.0,Travel_Rarely,Sales,7,1,Life Sciences,4,Male,3,1,Sales Representative,3,Married,2404,1,No,13,3,1,1,1,3,3,1,0,0,0,0,1,0
63,30,0.0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Male,1,1,Laboratory Technician,3,Married,3833,3,No,21,4,3,2,7,2,3,2,2,0,2,0,1,1
64,58,0.0,Travel_Rarely,Research & Development,9,3,Medical,2,Female,2,1,Research Scientist,2,Married,3346,4,Yes,20,4,2,1,9,3,2,1,0,0,0,0,1,1
65,37,1.0,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,2,3,Sales Executive,3,Married,10609,5,No,11,3,3,0,17,2,1,14,1,11,7,0,1,1
66,45,1.0,Travel_Rarely,Research & Development,28,2,Technical Degree,4,Female,2,4,Research Director,2,Single,16704,1,No,11,3,3,0,21,2,3,21,6,8,6,0,0,1
67,52,1.0,Non-Travel,Sales,29,4,Life Sciences,1,Male,3,1,Sales Representative,4,Divorced,3482,2,No,15,3,2,2,16,3,2,9,8,0,0,0,0,1
68,38,0.0,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Female,3,1,Laboratory Technician,4,Single,2288,1,No,12,3,3,0,2,3,3,2,2,2,1,0,1,0
69,43,1.0,Travel_Rarely,Sales,9,3,Marketing,1,Female,1,2,Sales Executive,3,Single,5346,8,No,13,3,2,0,7,2,2,4,3,1,3,0,0,0
70,27,1.0,Travel_Rarely,Sales,23,1,Medical,2,Female,2,2,Sales Representative,3,Married,3540,1,No,21,4,4,1,9,5,3,9,8,5,8,0,0,1
71,52,0.0,Travel_Frequently,Research & Development,28,2,Medical,4,Female,4,4,Manufacturing Director,3,Married,13247,2,Yes,11,3,2,1,24,3,2,5,3,0,2,0,0,1
72,49,1.0,Travel_Rarely,Research & Development,3,2,Medical,3,Female,2,2,Laboratory Technician,1,Married,4789,4,No,25,4,1,1,10,3,3,3,2,1,2,0,1,1
73,44,0.0,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0,0,0
74,59,0.0,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,2,1,Research Scientist,4,Married,2177,3,No,17,3,1,1,7,6,3,1,0,0,0,0,1,0
75,58,1.0,Travel_Rarely,Sales,21,3,Life Sciences,4,Female,3,4,Manager,4,Married,17875,4,Yes,13,3,3,1,29,2,2,1,0,0,0,0,1,1
76,31,1.0,Travel_Rarely,Research & Development,4,3,Medical,1,Female,4,1,Laboratory Technician,3,Divorced,3978,8,No,12,3,2,1,4,0,2,2,2,2,2,0,1,1
77,42,0.0,Non-Travel,Research & Development,21,2,Medical,3,Female,3,2,Manufacturing Director,3,Divorced,5265,2,No,16,3,2,1,11,5,3,5,3,0,2,0,0,0
78,45,0.0,Travel_Rarely,Sales,2,3,Other,4,Male,3,2,Sales Executive,2,Married,4805,0,No,19,3,2,1,9,3,4,8,7,3,7,0,0,0
79,31,1.0,Travel_Rarely,Sales,10,2,Medical,3,Female,3,2,Sales Executive,4,Divorced,6583,2,Yes,11,3,4,1,8,2,3,5,2,1,4,0,1,0
80,34,1.0,Travel_Rarely,Research & Development,3,3,Life Sciences,4,Female,3,2,Research Scientist,2,Divorced,5433,1,No,12,3,3,1,11,2,3,11,8,7,9,0,0,1
81,21,1.0,Travel_Rarely,Research & Development,18,1,Other,4,Female,3,1,Research Scientist,4,Single,2693,1,No,19,3,1,0,1,3,2,1,0,0,0,0,1,0
82,23,0.0,Travel_Rarely,Research & Development,4,3,Medical,1,Male,4,1,Research Scientist,1,Married,2819,2,No,16,3,1,1,5,3,4,3,2,0,2,0,1,0
83,47,1.0,Travel_Rarely,Research & Development,9,4,Life Sciences,2,Female,3,1,Laboratory Technician,3,Single,2105,4,No,12,3,3,0,7,2,3,2,2,2,0,0,1,0
84,54,0.0,Travel_Rarely,Sales,3,3,Marketing,4,Female,3,2,Sales Executive,1,Married,5940,2,No,14,3,4,1,16,4,3,6,2,0,5,0,1,0
85,41,0.0,Travel_Rarely,Research & Development,7,2,Technical Degree,2,Female,4,1,Research Scientist,3,Married,3376,1,No,13,3,3,0,10,3,3,10,6,0,8,0,0,1
86,45,0.0,Travel_Rarely,Research & Development,20,3,Medical,2,Male,1,3,Healthcare Representative,1,Divorced,10851,2,Yes,18,3,2,1,24,2,3,7,7,0,7,0,0,1
87,36,1.0,Travel_Rarely,Sales,11,4,Marketing,2,Female,2,2,Sales Executive,4,Married,6652,4,No,13,3,1,1,8,2,2,6,3,0,0,0,0,0
88,45,0.0,Non-Travel,Sales,6,3,Medical,4,Female,2,3,Sales Executive,4,Single,8865,6,No,12,3,4,0,23,2,3,19,7,12,8,0,0,1
89,46,1.0,Travel_Rarely,Sales,10,3,Life Sciences,3,Female,3,3,Sales Executive,2,Married,7314,5,No,21,4,3,3,14,2,3,8,7,0,7,0,0,1
90,42,1.0,Travel_Rarely,Sales,12,4,Marketing,2,Male,3,2,Sales Executive,4,Divorced,5087,3,Yes,12,3,3,2,14,4,3,0,0,0,0,1,1,0
91,34,1.0,Travel_Rarely,Research & Development,5,2,Medical,2,Male,2,2,Laboratory Technician,4,Married,3986,1,No,14,3,3,1,15,3,4,15,10,4,13,0,0,1
92,37,1.0,Travel_Rarely,Research & Development,7,4,Medical,4,Male,3,2,Research Scientist,1,Married,4284,5,Yes,22,4,3,1,16,2,3,5,3,0,4,0,0,1
93,55,0.0,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,3,No,14,3,4,1,24,4,3,1,0,1,0,0,1,1
94,22,1.0,Non-Travel,Research & Development,26,2,Other,2,Female,2,1,Research Scientist,3,Married,2814,1,Yes,14,3,2,0,4,2,2,4,2,1,3,0,1,0
95,34,0.0,Travel_Frequently,Research & Development,2,1,Life Sciences,4,Male,2,2,Manufacturing Director,3,Married,9547,1,No,17,3,3,0,10,2,2,10,9,1,9,0,0,1
96,29,1.0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,2,Healthcare Representative,1,Married,5373,0,No,12,3,1,1,6,5,2,5,3,0,2,0,0,0
97,57,0.0,Travel_Rarely,Research & Development,1,2,Life Sciences,2,Male,4,2,Research Scientist,3,Married,4900,0,No,24,4,1,1,13,2,2,12,9,2,8,0,0,1
98,53,1.0,Travel_Rarely,Sales,24,4,Life Sciences,1,Male,3,3,Sales Executive,1,Single,10448,6,Yes,13,3,2,0,15,2,2,2,2,2,2,0,1,1
99,33,0.0,Travel_Rarely,Research & Development,4,4,Medical,3,Female,2,1,Research Scientist,2,Married,2622,6,No,21,4,4,0,7,3,3,3,2,1,1,0,1,0
100,32,0.0,Non-Travel,Research & Development,1,3,Life Sciences,4,Male,3,1,Laboratory Technician,4,Divorced,2314,0,No,12,3,2,1,4,2,3,3,0,0,2,0,1,0
101,21,1.0,Travel_Frequently,Research & Development,10,2,Life Sciences,1,Female,2,1,Laboratory Technician,3,Single,2625,1,No,20,4,3,0,2,2,1,2,2,2,2,0,1,0
102,34,1.0,Travel_Frequently,Sales,6,2,Marketing,4,Female,1,1,Sales Representative,3,Divorced,2351,0,No,16,3,4,1,3,3,2,2,2,1,0,0,1,0
103,55,1.0,Travel_Rarely,Research & Development,22,3,Technical Degree,1,Male,2,1,Research Scientist,2,Divorced,3537,5,No,12,3,4,1,8,1,3,4,2,1,2,0,1,1
104,27,0.0,Travel_Frequently,Sales,20,3,Life Sciences,4,Female,3,2,Sales Executive,3,Single,9981,1,No,14,3,4,0,7,2,3,7,7,0,7,0,0,1
105,46,0.0,Travel_Rarely,Sales,3,3,Technical Degree,1,Female,4,4,Sales Executive,1,Divorced,13225,2,No,12,3,4,1,25,5,3,19,17,2,8,0,0,1
106,36,0.0,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Male,1,1,Laboratory Technician,3,Divorced,2741,1,No,14,3,3,1,7,4,3,7,7,1,7,0,0,0
107,41,1.0,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,1,No,12,3,4,0,23,0,3,22,15,15,8,0,0,1
108,38,1.0,Travel_Frequently,Research & Development,1,3,Life Sciences,4,Male,3,2,Research Scientist,4,Married,4735,7,No,15,3,4,2,19,4,4,13,11,2,9,0,0,1
109,33,0.0,Travel_Frequently,Research & Development,6,3,Life Sciences,3,Male,3,2,Healthcare Representative,4,Divorced,7725,3,No,23,4,3,1,15,2,1,13,11,4,7,0,0,1
110,18,1.0,Non-Travel,Research & Development,8,1,Medical,3,Male,3,1,Laboratory Technician,3,Single,1904,1,No,12,3,4,0,0,0,3,0,0,0,0,1,1,0
111,27,0.0,Travel_Rarely,Research & Development,9,3,Medical,4,Female,3,1,Research Scientist,2,Single,2279,1,No,16,3,4,0,7,2,2,7,7,0,3,0,0,0
112,22,0.0,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,2,2,Manufacturing Director,4,Married,4775,6,No,22,4,1,2,4,2,1,2,2,2,2,0,1,0
113,33,1.0,Travel_Rarely,Research & Development,14,3,Medical,3,Male,3,1,Laboratory Technician,4,Married,2436,5,Yes,13,3,3,1,8,2,1,5,4,0,4,0,0,0
114,42,0.0,Travel_Frequently,Research & Development,28,4,Technical Degree,4,Female,2,2,Healthcare Representative,4,Married,4523,0,No,11,3,4,3,7,4,4,6,5,0,4,0,0,0
115,29,0.0,Travel_Frequently,Research & Development,1,4,Life Sciences,2,Male,1,1,Research Scientist,4,Divorced,2720,1,No,18,3,4,1,10,5,3,10,7,2,8,0,0,0
116,39,1.0,Non-Travel,Research & Development,1,3,Life Sciences,4,Male,3,2,Laboratory Technician,4,Married,6472,1,Yes,15,3,4,1,9,2,3,9,8,5,8,0,0,1
117,35,0.0,Travel_Rarely,Research & Development,1,3,Medical,4,Female,2,2,Laboratory Technician,4,Married,5363,0,No,12,3,2,1,10,0,3,9,7,0,0,0,0,1
118,30,1.0,Travel_Rarely,Research & Development,16,3,Life Sciences,3,Male,4,2,Healthcare Representative,3,Married,5294,3,No,16,3,3,1,10,3,3,7,0,1,7,0,1,0
119,37,0.0,Non-Travel,Sales,9,4,Medical,1,Male,3,3,Sales Executive,2,Divorced,8834,1,No,13,3,4,1,9,6,3,9,5,7,7,0,0,1
120,39,1.0,Travel_Rarely,Research & Development,3,2,Medical,3,Male,2,2,Laboratory Technician,3,Divorced,3069,0,No,15,3,4,1,11,3,3,10,8,0,7,0,0,0
121,52,1.0,Travel_Rarely,Sales,2,1,Marketing,1,Female,1,5,Manager,4,Married,19845,1,No,15,3,4,1,33,3,3,32,14,6,9,0,0,1
122,31,0.0,Travel_Rarely,Sales,7,3,Technical Degree,2,Male,4,2,Sales Executive,4,Married,6929,4,No,11,3,2,1,10,3,2,8,7,7,7,0,0,1
123,29,0.0,Travel_Rarely,Sales,10,3,Life Sciences,3,Male,3,1,Sales Representative,3,Single,2642,1,No,11,3,3,0,1,6,3,1,0,0,0,0,1,1
124,28,1.0,Travel_Rarely,Research & Development,24,3,Medical,3,Male,3,1,Laboratory Technician,2,Married,2408,1,Yes,17,3,3,3,1,3,3,1,1,0,0,0,1,0
125,26,1.0,Travel_Rarely,Research & Development,1,3,Medical,3,Male,3,1,Laboratory Technician,1,Single,2867,0,No,13,3,4,0,8,6,2,7,7,7,6,0,0,0
126,32,1.0,Non-Travel,Sales,11,4,Other,4,Male,4,2,Sales Executive,3,Married,4707,8,No,12,3,4,0,6,2,3,4,2,1,2,0,1,0
127,35,0.0,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0,1,1
128,43,0.0,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,1,5,Research Director,4,Married,19740,3,No,14,3,2,1,25,2,3,8,7,0,7,0,0,1
129,33,0.0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,4,Single,2500,0,No,14,3,1,0,4,2,4,3,1,0,2,0,1,0
130,44,1.0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,4,3,Healthcare Representative,4,Married,7879,1,Yes,19,3,2,1,9,2,3,8,7,6,7,0,0,1
131,41,1.0,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,2,2,Sales Executive,2,Divorced,8938,2,No,11,3,3,1,14,5,3,5,4,0,4,0,0,1
132,45,1.0,Travel_Frequently,Research & Development,1,4,Medical,2,Male,3,2,Healthcare Representative,3,Single,5399,4,No,12,3,3,0,12,3,3,4,2,0,3,0,1,0
133,37,0.0,Travel_Rarely,Sales,10,4,Life Sciences,4,Female,2,2,Sales Executive,4,Divorced,6694,2,Yes,14,3,3,3,8,5,3,1,0,0,0,0,1,0
134,27,1.0,Travel_Rarely,Research & Development,17,4,Life Sciences,4,Female,3,1,Research Scientist,3,Single,2394,1,Yes,13,3,4,0,8,2,3,8,2,7,7,0,1,0
135,28,0.0,Travel_Rarely,Research & Development,2,1,Life Sciences,1,Male,2,1,Research Scientist,2,Married,3201,0,No,17,3,1,0,6,2,1,5,3,0,4,0,0,0
136,27,0.0,Travel_Frequently,Research & Development,10,2,Life Sciences,4,Male,3,3,Manufacturing Director,1,Divorced,8793,1,No,21,4,3,2,9,4,2,9,7,1,7,0,0,1
137,37,0.0,Travel_Rarely,Sales,16,4,Marketing,4,Male,2,2,Sales Executive,3,Divorced,6334,4,No,19,3,4,2,9,2,3,1,0,0,0,0,1,0
138,27,0.0,Travel_Rarely,Research & Development,6,3,Life Sciences,4,Male,2,1,Research Scientist,3,Married,2539,1,No,13,3,3,1,4,0,3,4,2,2,2,0,1,0
139,37,0.0,Travel_Frequently,Sales,4,4,Marketing,1,Male,3,1,Sales Representative,4,Divorced,2793,4,No,17,3,3,1,13,2,3,9,8,5,8,0,0,1
140,31,0.0,Travel_Rarely,Research & Development,24,3,Medical,3,Female,2,2,Healthcare Representative,1,Single,6812,1,No,19,3,2,0,10,2,3,10,9,1,8,0,0,0
141,48,0.0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Male,2,5,Research Director,4,Single,18265,6,No,12,3,3,0,25,3,4,1,0,0,0,0,1,1
142,36,0.0,Travel_Rarely,Research & Development,1,3,Other,3,Female,3,2,Manufacturing Director,2,Married,5228,0,No,15,3,1,1,10,2,3,9,7,0,5,0,0,0
143,37,0.0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,2,2,Manufacturing Director,4,Married,6474,1,No,13,3,2,1,14,2,2,14,8,3,11,0,0,0
144,55,1.0,Travel_Rarely,Research & Development,4,4,Life Sciences,4,Male,3,2,Healthcare Representative,3,Married,4035,0,Yes,16,3,2,0,4,2,3,3,2,1,2,0,1,0
145,33,1.0,Travel_Frequently,Research & Development,7,2,Life Sciences,4,Male,3,2,Healthcare Representative,3,Divorced,5968,1,No,20,4,3,3,9,2,3,9,7,2,8,0,0,0
146,38,0.0,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,2,2,Sales Executive,4,Single,8686,4,No,22,4,3,0,12,2,4,8,3,0,7,0,0,1
147,32,0.0,Travel_Rarely,Sales,13,4,Life Sciences,2,Male,3,2,Sales Executive,4,Divorced,4403,2,No,11,3,3,1,8,3,2,5,2,0,3,0,1,0
148,32,1.0,Travel_Rarely,Research & Development,5,4,Other,2,Female,4,1,Research Scientist,4,Married,3312,3,No,17,3,4,2,6,3,3,3,2,0,2,0,1,1
149,28,0.0,Travel_Rarely,Research & Development,10,3,Other,3,Female,3,2,Research Scientist,3,Single,3660,3,No,13,3,4,0,10,4,4,8,7,1,7,0,0,1
150,43,0.0,Travel_Frequently,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,Single,4739,4,No,12,3,4,0,18,2,3,3,2,1,2,0,1,1
151,29,1.0,Travel_Rarely,Sales,19,3,Life Sciences,3,Male,2,2,Sales Executive,3,Divorced,8620,1,No,14,3,3,2,10,3,3,10,7,0,4,0,0,1
